Country.of.Origin,Region,Harvest.Year,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters
United States,antioquia,2014,Other,Washed / Wet,0.12376237623762376,0.11534025374855825,0.12004801920768307,0.11876484560570072,0.125,0.12376237623762376,0.1,0.1,0.1,0.12004801920768307,0.011373976342129208,0.0,0,0.0,,0,1943.0,1943.0,1943.0
United States (Hawaii),kona,2010,,,0.12004801920768307,0.11876484560570072,0.12376237623762376,0.12121212121212122,0.12121212121212122,0.125,0.1,0.1,0.1,0.11655011655011654,0.011373976342129208,0.0,0,0.0,,2,609.6,609.6,609.6
Ethiopia,oromiya,2010,,,0.12121212121212122,0.12004801920768307,0.11764705882352941,0.12121212121212122,0.11655011655011654,0.11428571428571428,0.10718113612004287,0.1,0.10718113612004287,0.11764705882352941,0.011385631333257429,0.05,0,0.0,,2,1570.0,1700.0,1635.0
United States,antioquia,2014,Other,Washed / Wet,0.125,0.11764705882352941,0.11655011655011654,0.12239902080783353,0.12239902080783353,0.125,0.1,0.1,0.1,0.12239902080783353,0.011418131993605847,0.0,0,0.0,,0,2080.0,2080.0,2080.0
Indonesia,sulawesi,0,,,0.12004801920768307,0.12121212121212122,0.1277139208173691,0.12903225806451613,0.11764705882352941,0.11876484560570072,0.1,0.1,0.1,0.12004801920768307,0.011439029970258523,0.03,0,0.0,,0,1200.0,1800.0,1500.0
Ethiopia,yirgacheffe,2010,,,0.12239902080783353,0.12004801920768307,0.12121212121212122,0.12004801920768307,0.11876484560570072,0.12004801920768307,0.10718113612004287,0.1,0.10718113612004287,0.11325028312570781,0.011450818733539448,0.05,0,0.0,,2,,,
China,yunnan,2015,Catimor,Washed / Wet,0.11876484560570072,0.12121212121212122,0.12376237623762376,0.12239902080783353,0.12626262626262627,0.125,0.1,0.1,0.1,0.11876484560570072,0.011461318051575931,0.1,0,0.0,Green,0,1450.0,1450.0,1450.0
Ethiopia,gedio,2014,Ethiopian Yirgacheffe,Natural / Dry,0.12239902080783353,0.12239902080783353,0.125,0.12239902080783353,0.12376237623762376,0.12004801920768307,0.1,0.1,0.1,0.12004801920768307,0.011461318051575931,0.0,0,0.0,,8,1700.0,2000.0,1850.0
United States,antioquia,2014,Other,Washed / Wet,0.125,0.12121212121212122,0.12376237623762376,0.11764705882352941,0.12121212121212122,0.125,0.1,0.1,0.1,0.12239902080783353,0.011461318051575931,0.0,0,0.0,None,0,2019.0,2019.0,2019.0
Costa Rica,san ramon,2014,Caturra,Washed / Wet,0.12376237623762376,0.12121212121212122,0.125,0.12239902080783353,0.125,0.12004801920768307,0.1,0.1,0.1,0.12004801920768307,0.011471836641046231,0.11,0,0.0,Green,2,1300.0,1300.0,1300.0
Mexico,xalapa,2012,Other,Washed / Wet,0.12239902080783353,0.12121212121212122,0.12239902080783353,0.125,0.1277139208173691,0.12239902080783353,0.1,0.1,0.1,0.11655011655011654,0.011471836641046231,0.13,0,0.0,Green,0,1320.0,1320.0,1320.0
United States,antioquia,2014,Other,Washed / Wet,0.12121212121212122,0.12004801920768307,0.12239902080783353,0.12239902080783353,0.1277139208173691,0.12239902080783353,0.1,0.1,0.1,0.12239902080783353,0.01148369315571888,0.0,0,0.0,,0,2112.0,2112.0,2112.0
Ethiopia,sidamo,2013,,Natural / Dry,0.11876484560570072,0.12239902080783353,0.12626262626262627,0.12239902080783353,0.12004801920768307,0.125,0.1,0.1,0.1,0.12376237623762376,0.01148369315571888,0.11,0,0.0,Bluish-Green,1,,,
Brazil,south of minas,2011,Bourbon,Natural / Dry,0.11764705882352941,0.11764705882352941,0.125,0.125,0.125,0.125,0.1,0.1,0.1,0.12626262626262627,0.011504832029452369,0.12,0,0.0,Green,2,1250.0,1250.0,1250.0
Ethiopia,sidamo,2010,,,0.1277139208173691,0.12121212121212122,0.12376237623762376,0.12239902080783353,0.12239902080783353,0.12239902080783353,0.1,0.1,0.1,0.12121212121212122,0.011504832029452369,0.05,0,0.0,,2,,,
Uganda,kapchorwa eastern,2013,SL14,Washed / Wet,0.11876484560570072,0.12239902080783353,0.12239902080783353,0.12239902080783353,0.1277139208173691,0.12626262626262627,0.1,0.1,0.1,0.12239902080783353,0.011516756881262236,0.12,0,0.0,Green,1,1950.0,1950.0,1950.0
Honduras,comayagua,2016,Caturra,,0.12239902080783353,0.12376237623762376,0.12376237623762376,0.125,0.12376237623762376,0.125,0.1,0.1,0.1,0.12121212121212122,0.011538017768547364,0.1,0,0.0,Green,3,1400.0,1400.0,1400.0
Taiwan,"leye, alishan township, chiayi county",2015,Sumatra,Pulped natural / honey,0.125,0.125,0.125,0.12121212121212122,0.125,0.12239902080783353,0.1,0.1,0.1,0.12239902080783353,0.01155001155001155,0.0,0,0.0,Green,0,1200.0,1200.0,1200.0
Nicaragua,,,,,0.12626262626262627,0.12121212121212122,0.125,0.12004801920768307,0.125,0.12376237623762376,0.1,0.1,0.1,0.125,0.01155001155001155,0.08,0,0.0,,2,,,
"Tanzania, United Republic Of",,2012,,Natural / Dry,0.11876484560570072,0.12239902080783353,0.12239902080783353,0.125,0.13192612137203166,0.125,0.1,0.1,0.1,0.12239902080783353,0.011560693641618497,0.11,0,0.0,Bluish-Green,1,,,
Brazil,vale da grama,2011,Bourbon,Natural / Dry,0.11764705882352941,0.12239902080783353,0.125,0.12903225806451613,0.125,0.125,0.1,0.1,0.1,0.125,0.011571395510298541,0.12,0,0.0,Green,2,1300.0,1300.0,1300.0
Costa Rica,west and central valley,2016,Caturra,Washed / Wet,0.12239902080783353,0.1277139208173691,0.125,0.12376237623762376,0.1277139208173691,0.125,0.1,0.1,0.1,0.11876484560570072,0.011583458820803891,0.0,0,0.0,Blue-Green,0,1300.0,1300.0,1300.0
Ethiopia,oromia,2014,,Natural / Dry,0.125,0.12376237623762376,0.12626262626262627,0.125,0.12376237623762376,0.12376237623762376,0.1,0.1,0.1,0.12376237623762376,0.011594202898550725,0.1,0,0.0,Green,3,1750.0,1800.0,1775.0
Kenya,muranga,2013,SL34,Washed / Wet,0.12376237623762376,0.125,0.125,0.12121212121212122,0.12626262626262627,0.12626262626262627,0.1,0.1,0.1,0.12376237623762376,0.011594202898550725,0.12,0,0.0,Blue-Green,1,1800.0,1800.0,1800.0
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,0.12376237623762376,0.12239902080783353,0.125,0.12626262626262627,0.12626262626262627,0.1277139208173691,0.1,0.1,0.1,0.12004801920768307,0.011594202898550725,0.0,1,0.0,,4,,,
United States (Hawaii),kona,2010,,,0.12121212121212122,0.11876484560570072,0.12376237623762376,0.12903225806451613,0.1303780964797914,0.1277139208173691,0.1,0.1,0.1,0.12121212121212122,0.011594202898550725,0.0,2,0.0,,1,,,
Ethiopia,yirgacheffe,2010,,,0.12626262626262627,0.12903225806451613,0.12376237623762376,0.12376237623762376,0.12376237623762376,0.12239902080783353,0.1,0.1,0.1,0.12239902080783353,0.011594202898550725,0.1,0,0.0,,2,,,
United States,antioquia,2014,Other,Washed / Wet,0.1303780964797914,0.12239902080783353,0.125,0.125,0.12239902080783353,0.12376237623762376,0.1,0.1,0.1,0.12376237623762376,0.011604966925844262,0.0,0,0.0,,0,1941.0,1941.0,1941.0
Thailand,chiang rai,2012,Caturra,Washed / Wet,0.1277139208173691,0.12004801920768307,0.1277139208173691,0.12121212121212122,0.13192612137203166,0.12626262626262627,0.1,0.1,0.1,0.11876484560570072,0.011604966925844262,0.1,1,0.0,Green,9,1300.0,1300.0,1300.0
Brazil,sul de minas - carmo de minas,2010,Yellow Bourbon,,0.12239902080783353,0.12626262626262627,0.12626262626262627,0.12903225806451613,0.12004801920768307,0.125,0.1,0.1,0.1,0.12376237623762376,0.011604966925844262,0.08,0,0.0,,2,12.0,12.0,12.0
Brazil,sul de minas - carmo de minas,2010,Yellow Bourbon,,0.11876484560570072,0.12626262626262627,0.125,0.12903225806451613,0.12626262626262627,0.125,0.1,0.1,0.1,0.12239902080783353,0.011604966925844262,0.01,0,0.0,,3,12.0,12.0,12.0
Taiwan,natou county,2015,Bourbon,Semi-washed / Semi-pulped,0.12376237623762376,0.12239902080783353,0.12903225806451613,0.12376237623762376,0.12903225806451613,0.1277139208173691,0.1,0.1,0.1,0.11876484560570072,0.011617100371747213,0.12,0,0.0,Green,0,1000.0,1000.0,1000.0
Kenya,nyeri,2014,SL28,Natural / Dry,0.12376237623762376,0.12376237623762376,0.125,0.125,0.1277139208173691,0.12376237623762376,0.1,0.1,0.1,0.125,0.011617100371747213,0.11,0,0.0,Bluish-Green,2,1754.0,1754.0,1754.0
Brazil,south of minas,2011,Bourbon,Semi-washed / Semi-pulped,0.12004801920768307,0.125,0.125,0.125,0.12903225806451613,0.125,0.1,0.1,0.1,0.125,0.011617100371747213,0.11,0,0.0,Blue-Green,2,1250.0,1250.0,1250.0
Uganda,eastern uganda,2014,,Semi-washed / Semi-pulped,0.12376237623762376,0.12376237623762376,0.1277139208173691,0.12626262626262627,0.12376237623762376,0.12626262626262627,0.1,0.1,0.1,0.12376237623762376,0.011627906976744186,0.0,0,0.0,,0,,,
Colombia,tolima,2013,Caturra,Washed / Wet,0.12903225806451613,0.12626262626262627,0.1277139208173691,0.12376237623762376,0.12376237623762376,0.12239902080783353,0.1,0.1,0.1,0.12239902080783353,0.011627906976744186,0.12,1,0.0,Green,1,900.0,1500.0,1200.0
Kenya,kiambu,2013,SL28,Washed / Wet,0.12626262626262627,0.12239902080783353,0.1277139208173691,0.11764705882352941,0.13333333333333333,0.12626262626262627,0.1,0.1,0.1,0.12239902080783353,0.011627906976744186,0.11,0,0.0,Green,1,1520.0,2200.0,1860.0
Uganda,"sipi, mt elgon",2012,Other,Washed / Wet,0.12121212121212122,0.125,0.1277139208173691,0.12376237623762376,0.125,0.12626262626262627,0.1,0.1,0.1,0.12626262626262627,0.011627906976744186,0.1,0,0.0,Blue-Green,0,1400.0,1900.0,1650.0
Ethiopia,sidamo,2010,,,0.12903225806451613,0.12376237623762376,0.125,0.12121212121212122,0.125,0.125,0.1,0.1,0.1,0.12626262626262627,0.011627906976744186,0.01,0,0.0,,4,1500.0,2000.0,1750.0
United States (Hawaii),kona,2009,,,0.12004801920768307,0.12239902080783353,0.12903225806451613,0.125,0.12903225806451613,0.1277139208173691,0.1,0.1,0.1,0.12239902080783353,0.011627906976744186,0.0,0,0.0,,0,426.72,426.72,426.72
Guatemala,nuevo oriente,2016,Bourbon,Washed / Wet,0.12626262626262627,0.12376237623762376,0.12626262626262627,0.12376237623762376,0.12376237623762376,0.1277139208173691,0.1,0.1,0.1,0.125,0.011638733705772812,0.1,0,1.0,Green,3,,,
Uganda,eastern,2013,SL14,Natural / Dry,0.12239902080783353,0.12239902080783353,0.12626262626262627,0.12376237623762376,0.1277139208173691,0.12903225806451613,0.1,0.1,0.1,0.125,0.011638733705772812,0.12,0,0.0,Green,0,1400.0,1900.0,1650.0
Colombia,huila,2013,Caturra,Washed / Wet,0.125,0.125,0.125,0.12239902080783353,0.1277139208173691,0.125,0.1,0.1,0.1,0.12626262626262627,0.011638733705772812,0.0,1,0.0,Blue-Green,0,1800.0,1800.0,1800.0
Panama,boquete,2017,Gesha,Washed / Wet,0.125,0.125,0.12626262626262627,0.12376237623762376,0.1277139208173691,0.125,0.1,0.1,0.1,0.125,0.01165093790050099,0.08,0,1.0,Bluish-Green,0,1600.0,1600.0,1600.0
Ethiopia,oromia,2014,,Washed / Wet,0.1277139208173691,0.12376237623762376,0.12626262626262627,0.12376237623762376,0.125,0.12626262626262627,0.1,0.1,0.1,0.125,0.01165093790050099,0.1,0,0.0,Green,4,1800.0,2000.0,1900.0
Guatemala,acatenango,2012,Bourbon,Washed / Wet,0.1277139208173691,0.125,0.125,0.12239902080783353,0.1277139208173691,0.125,0.1,0.1,0.1,0.125,0.01165093790050099,0.12,0,0.0,Green,3,1524.0,1524.0,1524.0
Guatemala,nuevo oriente,2012,Catuai,Washed / Wet,0.125,0.125,0.1277139208173691,0.12004801920768307,0.1277139208173691,0.1277139208173691,0.1,0.1,0.1,0.125,0.01165093790050099,0.1,0,0.0,Bluish-Green,1,1417.32,1417.32,1417.32
Ethiopia,addis ababa,2017,Caturra,Natural / Dry,0.1277139208173691,0.125,0.1277139208173691,0.12239902080783353,0.12626262626262627,0.125,0.1,0.1,0.1,0.125,0.011661807580174927,0.09,0,4.0,None,7,,,
Peru,cajamarca,2013,,Washed / Wet,0.125,0.125,0.125,0.12376237623762376,0.12626262626262627,0.12903225806451613,0.1,0.1,0.1,0.125,0.011661807580174927,0.1,4,0.0,Green,6,,,
Papua New Guinea,eastern highlands province,2012,,Washed / Wet,0.12004801920768307,0.11876484560570072,0.1277139208173691,0.12004801920768307,0.125,0.12121212121212122,0.10718113612004287,0.10718113612004287,0.1,0.12626262626262627,0.011661807580174927,0.12,0,0.0,Bluish-Green,1,1700.0,1700.0,1700.0
El Salvador,apaneca,2013,Bourbon,Washed / Wet,0.12626262626262627,0.12239902080783353,0.125,0.12626262626262627,0.12903225806451613,0.1277139208173691,0.1,0.1,0.1,0.125,0.011684973124561814,0.1,0,0.0,Blue-Green,3,1500.0,1500.0,1500.0
El Salvador,"ataco, apaneca - ilamatepec mountain range",2012,Bourbon,Semi-washed / Semi-pulped,0.1277139208173691,0.125,0.125,0.12903225806451613,0.12626262626262627,0.12239902080783353,0.1,0.1,0.1,0.12626262626262627,0.011684973124561814,0.11,0,0.0,None,0,1300.0,1400.0,1350.0
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,0.1277139208173691,0.125,0.12626262626262627,0.12903225806451613,0.12376237623762376,0.125,0.1,0.1,0.1,0.125,0.011684973124561814,0.0,0,0.0,,1,,,
Panama,boquete,2014,Caturra,Natural / Dry,0.125,0.12903225806451613,0.1277139208173691,0.1277139208173691,0.1303780964797914,0.11655011655011654,0.1,0.1,0.1,0.1277139208173691,0.011695906432748537,0.09,2,0.0,,2,1680.0,1680.0,1680.0
Kenya,kirinyaga,2014,SL28,Natural / Dry,0.12626262626262627,0.12626262626262627,0.1277139208173691,0.12376237623762376,0.1277139208173691,0.12626262626262627,0.1,0.1,0.1,0.125,0.011695906432748537,0.1,0,0.0,Green,3,1900.0,1900.0,1900.0
Ethiopia,oromia,2015,Other,Natural / Dry,0.1277139208173691,0.125,0.1277139208173691,0.12626262626262627,0.1277139208173691,0.12376237623762376,0.1,0.1,0.1,0.125,0.011695906432748537,0.12,0,0.0,Green,7,1800.0,2000.0,1900.0
Uganda,bulambuli eastern region,2013,SL14,Washed / Wet,0.12004801920768307,0.12626262626262627,0.1303780964797914,0.12626262626262627,0.1303780964797914,0.12626262626262627,0.1,0.1,0.1,0.12376237623762376,0.011695906432748537,0.12,0,0.0,Green,1,1600.0,1600.0,1600.0
Guatemala,huehuetenango,2013,Bourbon,Washed / Wet,0.125,0.1277139208173691,0.1303780964797914,0.12004801920768307,0.1277139208173691,0.125,0.1,0.1,0.1,0.1277139208173691,0.011695906432748537,0.11,0,0.0,Green,1,1706.88,1755.648,1731.264
Ethiopia,oromia,2015,,Washed / Wet,0.12903225806451613,0.1277139208173691,0.1277139208173691,0.12239902080783353,0.12626262626262627,0.1277139208173691,0.1,0.1,0.1,0.12376237623762376,0.011706860220088973,0.1,0,0.0,Green,18,1800.0,2000.0,1900.0
Uganda,kapchorwa,2013,SL14,Washed / Wet,0.12376237623762376,0.125,0.1277139208173691,0.1303780964797914,0.125,0.1277139208173691,0.1,0.1,0.1,0.125,0.011706860220088973,0.12,0,0.0,Green,5,1950.0,1950.0,1950.0
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,0.12626262626262627,0.12626262626262627,0.12903225806451613,0.12626262626262627,0.12903225806451613,0.12626262626262627,0.1,0.1,0.1,0.12121212121212122,0.011706860220088973,0.0,4,0.0,,6,,,
Brazil,south of minas,2011,Bourbon,Semi-washed / Semi-pulped,0.125,0.125,0.125,0.1303780964797914,0.12903225806451613,0.125,0.1,0.1,0.1,0.125,0.011706860220088973,0.11,0,0.0,Blue-Green,1,1250.0,1250.0,1250.0
El Salvador,apaneca,2010,,,0.12376237623762376,0.1277139208173691,0.1277139208173691,0.12376237623762376,0.1277139208173691,0.1277139208173691,0.1,0.1,0.1,0.12626262626262627,0.011706860220088973,0.01,0,0.0,,0,1400.0,1400.0,1400.0
China,yunnan,2015,Catimor,Natural / Dry,0.125,0.125,0.125,0.1277139208173691,0.1277139208173691,0.12903225806451613,0.1,0.1,0.1,0.12626262626262627,0.011719207781553968,0.1,0,0.0,Green,0,1700.0,1700.0,1700.0
Guatemala,huehuetenango,2014,Pacamara,Natural / Dry,0.1277139208173691,0.12903225806451613,0.1277139208173691,0.1303780964797914,0.1277139208173691,0.11655011655011654,0.1,0.1,0.1,0.1277139208173691,0.011719207781553968,0.11,0,0.0,Green,1,1770.0,1770.0,1770.0
Costa Rica,west valley,2014,Caturra,Washed / Wet,0.12626262626262627,0.12376237623762376,0.125,0.12626262626262627,0.125,0.12376237623762376,0.1,0.1,0.10718113612004287,0.125,0.011719207781553968,0.0,0,0.0,Bluish-Green,0,1300.0,1300.0,1300.0
Costa Rica,san ramon,2014,Caturra,Washed / Wet,0.125,0.13192612137203166,0.13192612137203166,0.1303780964797914,0.12376237623762376,0.11764705882352941,0.1,0.1,0.1,0.12626262626262627,0.011719207781553968,0.1,0,0.0,Bluish-Green,2,1300.0,1300.0,1300.0
Kenya,central kenya,2012,SL34,Washed / Wet,0.1277139208173691,0.12376237623762376,0.12903225806451613,0.12376237623762376,0.12626262626262627,0.12903225806451613,0.1,0.1,0.1,0.12626262626262627,0.011719207781553968,0.0,0,0.0,Green,2,1600.0,1600.0,1600.0
Kenya,central kenya,2012,SL34,Washed / Wet,0.125,0.12626262626262627,0.12626262626262627,0.12376237623762376,0.1277139208173691,0.12903225806451613,0.1,0.1,0.1,0.1277139208173691,0.011719207781553968,0.0,0,0.0,Green,6,1200.0,1200.0,1200.0
Ethiopia,yirgacheffe,2010,,,0.1277139208173691,0.1277139208173691,0.12626262626262627,0.12376237623762376,0.12903225806451613,0.1277139208173691,0.1,0.1,0.1,0.12376237623762376,0.011719207781553968,0.05,0,0.0,,2,,,
Ethiopia,yirgacheffe,2010,Typica,,0.12626262626262627,0.1277139208173691,0.12903225806451613,0.12004801920768307,0.12903225806451613,0.12903225806451613,0.1,0.1,0.1,0.125,0.011719207781553968,0.1,0,0.0,,3,,,
Guatemala,oriente,2016,Bourbon,,0.125,0.12626262626262627,0.12903225806451613,0.125,0.12626262626262627,0.1277139208173691,0.1,0.1,0.1,0.1277139208173691,0.011730205278592375,0.1,0,2.0,Green,2,,,
Colombia,santander,2015,Caturra,Washed / Wet,0.12239902080783353,0.12626262626262627,0.1277139208173691,0.125,0.13192612137203166,0.1277139208173691,0.1,0.1,0.1,0.12626262626262627,0.011730205278592375,0.11,0,0.0,Green,0,1550.0,1550.0,1550.0
Colombia,santander,2014,Caturra,Natural / Dry,0.13192612137203166,0.12376237623762376,0.12626262626262627,0.1277139208173691,0.125,0.12626262626262627,0.1,0.1,0.1,0.12626262626262627,0.011730205278592375,0.12,0,0.0,Green,2,1550.0,1550.0,1550.0
Indonesia,lintong,2012,Sumatra Lintong,Semi-washed / Semi-pulped,0.12903225806451613,0.1277139208173691,0.1303780964797914,0.125,0.12376237623762376,0.1277139208173691,0.1,0.1,0.1,0.125,0.011741223435481977,0.11,0,0.0,Green,3,1250.0,1400.0,1325.0
Guatemala,huehuetenango,2012,Caturra,Washed / Wet,0.12121212121212122,0.125,0.1303780964797914,0.12626262626262627,0.12903225806451613,0.1303780964797914,0.1,0.1,0.1,0.12626262626262627,0.011741223435481977,0.0,0,0.0,,7,1400.0,1400.0,1400.0
Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",2016,Other,Natural / Dry,0.12903225806451613,0.125,0.13192612137203166,0.125,0.125,0.12626262626262627,0.1,0.1,0.1,0.1277139208173691,0.011753643629525154,0.11,0,1.0,Green,8,,,
Colombia,pasto,2015,Caturra,Natural / Dry,0.12239902080783353,0.1277139208173691,0.13192612137203166,0.12376237623762376,0.125,0.12903225806451613,0.1,0.1,0.1,0.1303780964797914,0.011753643629525154,0.0,0,0.0,,0,2560.0,2560.0,2560.0
Ethiopia,aricha,2014,,Natural / Dry,0.11876484560570072,0.125,0.1347708894878706,0.125,0.12626262626262627,0.12626262626262627,0.10718113612004287,0.1,0.1,0.12376237623762376,0.011753643629525154,0.1,2,0.0,Green,7,1700.0,1700.0,1700.0
United States (Hawaii),kona,2014,Hawaiian Kona,Natural / Dry,0.13192612137203166,0.1277139208173691,0.1277139208173691,0.12626262626262627,0.1277139208173691,0.12239902080783353,0.1,0.1,0.1,0.12626262626262627,0.011753643629525154,0.11,2,0.0,Bluish-Green,2,,,
Colombia,cundinamarca,2012,Caturra,Natural / Dry,0.1277139208173691,0.125,0.12903225806451613,0.12903225806451613,0.1277139208173691,0.1277139208173691,0.1,0.1,0.1,0.12376237623762376,0.011753643629525154,0.11,0,0.0,Green,8,2136.0,2136.0,2136.0
United States (Hawaii),kona,2012,,,0.12376237623762376,0.12239902080783353,0.12626262626262627,0.125,0.12376237623762376,0.125,0.10718113612004287,0.10718113612004287,0.1,0.12239902080783353,0.011753643629525154,0.01,1,0.0,,7,,,
Ethiopia,sidamo,2010,,,0.1303780964797914,0.125,0.1277139208173691,0.125,0.12626262626262627,0.1277139208173691,0.1,0.1,0.1,0.1277139208173691,0.011753643629525154,0.0,0,0.0,,5,,,
United States (Hawaii),kona,,,,0.13333333333333333,0.12626262626262627,0.12121212121212122,0.1277139208173691,0.12626262626262627,0.12903225806451613,0.1,0.1,0.1,0.12626262626262627,0.011753643629525154,0.0,0,0.0,,0,,,
Uganda,eastern uganda,2016,SL14,Washed / Wet,0.12239902080783353,0.12626262626262627,0.12903225806451613,0.12903225806451613,0.1303780964797914,0.12903225806451613,0.1,0.1,0.1,0.125,0.011764705882352941,0.11,0,0.0,Green,1,1800.0,1800.0,1800.0
Colombia,huila,2016,Caturra,Washed / Wet,0.125,0.12626262626262627,0.12903225806451613,0.12626262626262627,0.12903225806451613,0.1277139208173691,0.1,0.1,0.1,0.1277139208173691,0.011764705882352941,0.0,0,0.0,Green,3,,,
Costa Rica,tarrazu,2016,Catuai,Washed / Wet,0.1277139208173691,0.125,0.13192612137203166,0.12626262626262627,0.12626262626262627,0.1277139208173691,0.1,0.1,0.1,0.12626262626262627,0.011764705882352941,0.12,1,1.0,Green,1,1900.0,1900.0,1900.0
Mexico,veracruz,2015,Typica,Washed / Wet,0.1277139208173691,0.125,0.1277139208173691,0.12903225806451613,0.1303780964797914,0.1277139208173691,0.1,0.1,0.1,0.12376237623762376,0.011764705882352941,0.09,0,0.0,Green,3,1300.0,1300.0,1300.0
Kenya,,2015,,Washed / Wet,0.12239902080783353,0.1277139208173691,0.12626262626262627,0.12903225806451613,0.1303780964797914,0.1277139208173691,0.1,0.1,0.1,0.1277139208173691,0.011764705882352941,0.11,0,5.0,Green,7,1.0,1.0,1.0
Kenya,central kenya,2012,SL34,Washed / Wet,0.12903225806451613,0.1277139208173691,0.12903225806451613,0.12376237623762376,0.125,0.12903225806451613,0.1,0.1,0.1,0.1277139208173691,0.011764705882352941,0.0,0,0.0,Green,5,1580.0,1580.0,1580.0
Brazil,grama valley,2012,Mundo Novo,Natural / Dry,0.125,0.125,0.1277139208173691,0.1277139208173691,0.1303780964797914,0.1303780964797914,0.1,0.1,0.1,0.125,0.011764705882352941,0.12,0,0.0,Green,3,1100.0,1100.0,1100.0
Mexico,mexico,2012,Pacamara,,0.12626262626262627,0.12239902080783353,0.12903225806451613,0.12376237623762376,0.1347708894878706,0.1277139208173691,0.1,0.1,0.1,0.1277139208173691,0.011764705882352941,0.0,0,0.0,,0,1400.0,1400.0,1400.0
United States (Hawaii),kona,,,,0.12903225806451613,0.12626262626262627,0.12903225806451613,0.12903225806451613,0.125,0.125,0.1,0.1,0.1,0.1277139208173691,0.011764705882352941,0.0,0,0.0,,1,,,
